# eigendata as a function of alpha m=2, n=0
# node, \tilde{\sigma}, \alpha, \tilde{fpara}
0 8.0072E-01 0.1 0.08067990189561706
0 6.1433E-01 0.2 0.08067990189561706
0 4.8432E-01 0.3 0.08067990189561706
0 3.8197E-01 0.4 0.08067990189561706
0 2.9669E-01 0.5 0.08067990189561706
0 2.2321E-01 0.6 0.08067990189561706
0 1.5848E-01 0.7 0.08067990189561706
0 1.0053E-01 0.8 0.08067990189561706
0 4.8025E-02 0.9 0.08067990189561706
0 2.3502E-02 0.95 0.08067990189561706
0 9.2837E-03 0.98 0.08067990189561706
0 4.6228E-03 0.99 0.08067990189561706
