# eigendata as a function of alpha m=0
# node, \tilde{\sigma}, \alpha, \tilde{fpara}
1 1.5101E-03 0.99 0.08067990189561706
1 3.0378E-03 0.98 0.08067990189561706
1 7.7306E-03 0.95 0.08067990189561706
1 1.5942E-02 0.9 0.08067990189561706
1 3.4046E-02 0.8 0.08067990189561706
1 5.4914E-02 0.7 0.08067990189561706
1 7.9430E-02 0.6 0.08067990189561706
1 1.0897E-01 0.5 0.08067990189561706
1 1.4585E-01 0.4 0.08067990189561706
1 1.9439E-01 0.3 0.08067990189561706
1 2.6429E-01 0.2 0.08067990189561706
1 3.8601E-01 0.1 0.08067990189561706
