# eigendata as a function of alpha m=1, n=0
# node, \tilde{\sigma}, \alpha, \tilde{fpara}
0 6.5433E-02 0.9 0.005
0 6.5427E-02 0.9 0.01
0 6.5298E-02 0.9 0.05
0 6.5128E-02 0.9 0.08
0 6.4987E-02 0.9 0.1
0 6.4033E-02 0.9 0.2
0 5.9810E-02 0.9 0.5
0 5.1551E-02 0.9 1
0 1.6027E-02 0.9 5
0 6.1998E-03 0.9 10
